IP address,asn,as_name,as_domain,country_code,country,continent_code,continent,isCoAP,Code,Message Type,Payload,Payload Size (bytes)
135.0.234.46,AS54614,CIK Telecom INC,ciktel.com,CA,Canada,NA,North America,True,2.05 Content,ACK,"</>;title=""General Info"";ct=0,</qlink/searchfh>;title=qlink/searchfh,</qlink/searchgw>;title=qlink/searchgw,</qlink/request>;title=qlink/request,</qlink/success>;title=qlink/success,</device/inform/bootstrap>;title=device/inform/bootstrap,</device/inform/boot>;title=device/inform/boot,</device/inform/syncreq>;title=device/inform/syncreq,</device/inform/offline>;title=device/inform/offline,</device/inform/heartbeat>;title=device/inform/heartbeat,</device/inform/data>;title=device/inform/data,</device/inform/change>;title=device/inform/change,</async>;ct=0",560
112.18.70.3,AS9808,"China Mobile Communications Group Co., Ltd.",10086.cn,CN,China,AS,Asia,True,2.05 Content,ACK,"</qlink>,</qlink/searchgw>,</device>,</device/inform>,</device/inform/boot>,</device/inform/bootstrap>,</device/inform/data>,</device/inform/heartbeat>,</device/inform/offline>,</ekit>,</ekit/boot>,</ekit/bootstrap>,</ekit/heartbeat>,</ekit/searchgw>,</.well-known/core>",270
60.52.49.246,AS4788,TM TECHNOLOGY SERVICES SDN. BHD.,tm.com.my,MY,Malaysia,AS,Asia,True,2.05 Content,ACK,"</>;title=""General Info"";ct=0,</qlink/searchfh>;title=qlink/searchfh,</qlink/searchgw>;title=qlink/searchgw,</qlink/request>;title=qlink/request,</qlink/success>;title=qlink/success,</device/inform/bootstrap>;title=device/inform/bootstrap,</device/inform/boot>;title=device/inform/boot,</device/inform/syncreq>;title=device/inform/syncreq,</device/inform/offline>;title=device/inform/offline,</device/inform/heartbeat>;title=device/inform/heartbeat,</device/inform/data>;title=device/inform/data,</device/inform/change>;title=device/inform/change,</async>;ct=0",560
1.32.35.90,AS4788,TM TECHNOLOGY SERVICES SDN. BHD.,tm.com.my,MY,Malaysia,AS,Asia,False,,,,
77.34.97.218,AS12389,PJSC Rostelecom,rt.ru,RU,Russia,EU,Europe,False,,,,
91.213.67.128,AS41748,"OOO ""VolgaSvyazService""",vss-63.ru,RU,Russia,EU,Europe,True,2.05 Content,ACK,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",84
77.40.93.180,AS12389,PJSC Rostelecom,rt.ru,RU,Russia,EU,Europe,False,,,,
98.25.1.14,AS11426,Charter Communications Inc,charter.com,US,United States,NA,North America,False,,,,
58.209.194.16,AS140292,CHINATELECOM Jiangsu province Suzhou 5G network,chinatelecom.cn,CN,China,AS,Asia,False,,,,
