exp_name,date,n_partitions,partition_id,dataset_name
exp_0,2025-07-30,5,1,01_output.csv
exp_0,2025-07-30,5,2,01_output.csv
exp_0,2025-07-30,5,3,01_output.csv
exp_0,2025-07-30,5,4,01_output.csv
exp_0,2025-07-30,5,5,01_output.csv
exp_0,2025-07-31,5,1,01_output.csv
exp_0,2025-07-31,5,2,01_output.csv
exp_0,2025-07-31,5,3,01_output.csv
exp_0,2025-07-31,5,4,01_output.csv
exp_0,2025-07-31,5,5,01_output.csv
exp_0,2025-07-31,4,1,02_output.csv
exp_0,2025-07-31,4,2,02_output.csv
exp_0,2025-07-31,4,3,02_output.csv
exp_0,2025-07-31,4,4,02_output.csv
exp_0,2025-08-12,4,1,02_output.csv
exp_0,2025-08-12,4,2,02_output.csv
exp_0,2025-08-12,4,3,02_output.csv
exp_0,2025-08-12,4,4,02_output.csv
exp_0,2025-08-18,4,1,02_output.csv
exp_0,2025-08-18,4,2,02_output.csv
exp_0,2025-08-18,4,3,02_output.csv
exp_0,2025-08-18,4,4,02_output.csv
exp_0,2025-08-19,4,1,02_output.csv
exp_0,2025-08-19,4,2,02_output.csv
exp_0,2025-08-19,4,3,02_output.csv
exp_0,2025-08-19,4,4,02_output.csv
exp_0,2025-08-20,4,1,02_output.csv
exp_0,2025-08-20,4,2,02_output.csv
exp_0,2025-08-20,4,3,02_output.csv
exp_0,2025-08-20,4,4,02_output.csv
exp_0,2025-08-20,3,1,03_output.csv
exp_0,2025-08-20,3,2,03_output.csv
exp_0,2025-08-20,3,3,03_output.csv
exp_0,2025-08-21,5,1,01_output.csv
exp_0,2025-08-21,5,2,01_output.csv
exp_0,2025-08-21,5,3,01_output.csv
exp_0,2025-08-21,5,4,01_output.csv
exp_0,2025-08-21,5,5,01_output.csv
exp_0,2025-08-21,4,1,02_output.csv
exp_0,2025-08-21,4,2,02_output.csv
exp_0,2025-08-21,4,3,02_output.csv
exp_0,2025-08-21,4,4,02_output.csv
exp_0,2025-08-21,3,1,03_output.csv
exp_0,2025-08-21,3,2,03_output.csv
exp_0,2025-08-21,3,3,03_output.csv
exp_0,2025-08-22,5,1,01_output.csv
exp_0,2025-08-22,5,2,01_output.csv
exp_0,2025-08-22,5,3,01_output.csv
exp_0,2025-08-22,5,4,01_output.csv
exp_0,2025-08-22,4,1,02_output.csv
exp_0,2025-08-22,5,5,01_output.csv
exp_0,2025-08-22,4,2,02_output.csv
exp_0,2025-08-22,4,4,02_output.csv
exp_0,2025-08-22,3,1,03_output.csv
exp_0,2025-08-22,3,2,03_output.csv
exp_0,2025-08-22,4,3,02_output.csv
exp_1,2025-08-22,4,1,03_output.csv
exp_0,2025-08-22,3,3,03_output.csv
exp_1,2025-08-22,4,2,03_output.csv
exp_1,2025-08-22,4,4,03_output.csv
exp_1,2025-08-22,4,3,03_output.csv
